gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,contrast,contrast_name,pct_cells_neoplastic,pct_cells_normal,pct_cells_smm_neoplastic,pct_cells_nbm_normal,patient_prevalence,recurrence_n_samples,recurrence_frac,recurrence_denom,recurrence_smm_n,recurrence_smm_denom,mgus_coverage_n,mgus_coverage_frac,mgus_coverage_denom,smm_coverage_n,smm_coverage_frac,smm_coverage_denom,mm_coverage_n,mm_coverage_frac,mm_coverage_denom,smmh_coverage_n,smmh_coverage_frac,smmh_coverage_denom,smml_coverage_n,smml_coverage_frac,smml_coverage_denom,mm_retained
RP11-34P13.7,0.20642651825416855,-0.45436517083487926,0.9561628814476841,-0.4751964122963495,0.6346469840518245,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0009479671371392458,0.0007708614376565812,0.0015147689977278464,0.0008576329331046312,0.30434782608695654,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
FO538757.2,35.04005911742762,0.2972625718357358,0.21151062212073732,1.4054262091198821,0.15989457767019588,0.3375938306129357,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.1121761112281441,0.07978415879745615,0.11827821257258268,0.07590051457975987,1.0,7,0.6363636363636364,11,4,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
AP006222.2,7.330827580951738,0.2755185289460671,0.2607579715050983,1.0566063516899242,0.290691280474044,0.4964624486306012,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.03912997682746998,0.02495663904413182,0.03610199444584701,0.02444253859348199,0.9130434782608695,1,0.09090909090909091,11,0,5,0,0.0,3,3,0.25,12,2,0.25,8,2,0.2222222222222222,9,1,0.3333333333333333,3,True
RP4-669L17.2,0.0858745497156769,-2.0311061901117196,1.8505554223729506,-1.0975657175980444,0.27239416957973395,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0002106593638087213,0.0008672191173636539,0.00025246149962130775,0.0008576329331046312,0.08695652173913043,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
RP4-669L17.10,0.4826531939432375,-0.02512611233467377,0.7109611597695418,-0.03534104780466264,0.9718077923454965,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.002211923319991574,0.0013490075158990172,0.0023983842464024236,0.0013936535162950257,0.43478260869565216,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
RP11-206L10.9,11.783789101601764,-0.008467475172754682,0.21298449320372656,-0.03975629889944743,0.9682874170909024,0.9860665434306868,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.04334316410364441,0.0391212179610715,0.0456955314314567,0.037950257289879934,0.9130434782608695,1,0.09090909090909091,11,1,5,0,0.0,3,4,0.3333333333333333,12,3,0.375,8,4,0.4444444444444444,9,0,0.0,3,True
LINC00115,3.3581310494677656,0.7225735992979686,0.4001195743495886,1.8058941516983835,0.07093487479590575,0.19613282671445104,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.018538024015167475,0.009539410291000193,0.022721534965917698,0.009648370497427101,0.7391304347826086,0,0.0,11,0,5,0,0.0,3,1,0.08333333333333333,12,1,0.125,8,1,0.1111111111111111,9,0,0.0,3,True
FAM41C,3.7436152737976327,0.1522894543689452,0.3355082895967657,0.4539066815665745,0.6498959942936473,0.7997492183735451,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.013376869601853802,0.010599344767777992,0.015400151476899772,0.010291595197255575,0.782608695652174,1,0.09090909090909091,11,1,5,0,0.0,3,2,0.16666666666666666,12,0,0.0,8,2,0.2222222222222222,9,0,0.0,3,True
SAMD11,6.536325823521717,2.1464179051259,0.8490529884520917,2.5280140748801014,0.01147097532617519,0.05626905603582801,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.03175689909416474,0.0032761611100404703,0.049608684675586975,0.002144082332761578,0.6956521739130435,4,0.36363636363636365,11,1,5,2,0.6666666666666666,3,4,0.3333333333333333,12,1,0.125,8,4,0.4444444444444444,9,0,0.0,3,False
NOC2L,43.40795254036848,0.5463233768837724,0.17424814402165173,3.1353181977989237,0.0017166779618262085,0.014542852940229665,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.21729513376869602,0.11996531123530546,0.2251956576622065,0.11460120068610635,1.0,6,0.5454545454545454,11,3,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
KLHL17,1.0843752009838459,-0.18800525984523977,0.4837700538627923,-0.3886252535560255,0.6975533828102163,0.8302995608045216,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.003791868548556983,0.0035652341491616882,0.004291845493562232,0.003537735849056604,0.5217391304347826,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
PLEKHN1,10.132927177857344,-0.6810087551530613,0.28137773766001584,-2.420265230705327,0.015509190307787241,0.06922594380536246,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.02775437118179903,0.039892079398728075,0.03711184044433224,0.038700686106346485,0.9130434782608695,1,0.09090909090909091,11,0,5,1,0.3333333333333333,3,1,0.08333333333333333,12,2,0.25,8,0,0.0,9,1,0.3333333333333333,3,True
PERM1,0.11552943366267164,-1.6409417219592097,1.533078603183166,-1.070357200571507,0.2844585563623844,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0004213187276174426,0.0007708614376565812,0.0006311537490532694,0.0006432246998284735,0.13043478260869565,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
ISG15,227.11187369933256,0.8199423100787759,0.34313362209142045,2.3895714593084096,0.016868042047913107,0.07330230767375802,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.5134821992837582,0.2823280015417229,0.29916687705124967,0.27926672384219553,1.0,2,0.18181818181818182,11,1,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
AGRN,1.3336791245690314,0.24356451781933147,0.6899205171176661,0.35303272156173826,0.7240639096581848,0.8467335667530108,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0036865388666526226,0.002119868953555598,0.0036606917445089625,0.002036878216123499,0.5652173913043478,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
C1orf159,3.50381563858753,0.18530239248107414,0.280843727837347,0.6598060562292264,0.5093782963798085,0.6966429858327436,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.01458816094375395,0.011370206205434573,0.017672304973491544,0.011149228130360206,0.782608695652174,1,0.09090909090909091,11,0,5,1,0.3333333333333333,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
TNFRSF18,59.42418162307844,-1.1668621862638944,0.5920445042236107,-1.9709028256145749,0.04873499187777881,0.15262400581353464,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.08984621866441964,0.22615147427249951,0.1956576622065135,0.22234133790737565,0.782608695652174,2,0.18181818181818182,11,0,5,3,1.0,3,7,0.5833333333333334,12,0,0.0,8,5,0.5555555555555556,9,2,0.6666666666666666,3,False
TNFRSF4,49.50709940760162,-1.4301209702584574,0.4568195843644079,-3.1306034574858352,0.00174447540808298,0.014674869733792714,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.08500105329681905,0.21275775679321643,0.17318858874021711,0.21269296740994853,0.8695652173913043,2,0.18181818181818182,11,0,5,3,1.0,3,9,0.75,12,2,0.25,8,6,0.6666666666666666,9,3,1.0,3,False
SDF4,95.4827789609368,-0.43475927252114277,0.28505220272228865,-1.5251917661717065,0.12721127370150448,0.29043331198731326,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.2585317042342532,0.2494700327616111,0.3528149457207776,0.237778730703259,1.0,2,0.18181818181818182,11,0,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
B3GALT6,3.9229780957260845,0.052615693043762825,0.3669312721361649,0.1433938642990277,0.8859791284804688,0.9455243061617308,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.015483463239941016,0.012141067643091155,0.01401161322898258,0.012006861063464836,0.782608695652174,0,0.0,11,0,5,0,0.0,3,0,0.0,12,1,0.125,8,0,0.0,9,0,0.0,3,True
FAM132A,0.32616743580157853,-0.3626448816941622,0.7253766213144159,-0.49994012908361035,0.6171172350304335,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0021065936380872128,0.0017344382347273077,0.003408230244887655,0.0019296740994854203,0.391304347826087,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
RP5-902P8.12,0.06072968803918154,-1.0039994501252902,1.99572502169808,-0.503075042508125,0.6149115128616354,,~status,"['status', 'neoplastic', 'normal']",A_neoplastic_vs_normal,0.0005266484095218032,0.00028907303912121797,0.00025246149962130775,0.00032161234991423673,0.13043478260869565,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
