gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
A1BG,liver,1,,3_vital
A1CF,liver,1,,3_vital
A2M,"liver, lung",2,,3_vital
A2ML1,esophagus,1,,2_restricted
A3GALT2,testis,1,,1b_testis_CT
A4GALT,heart muscle,1,,3_vital
A4GNT,stomach,1,,2_restricted
AAAS,,0,,4_broad
AACS,"breast, salivary gland, skin",3,,2_restricted
AADAC,liver,1,,3_vital
AADACL2,skin,1,,2_restricted
AADACL3,"placenta, skin",2,,2_restricted
AADACL4,choroid plexus,1,,3_vital
AADAT,liver,1,,3_vital
AAGAB,,0,,4_broad
AAK1,parathyroid gland,1,,2_restricted
AAMDC,skeletal muscle,1,,3_vital
AAMP,,0,,4_broad
AANAT,retina,1,,3_vital
AAR2,,0,,4_broad
AARD,testis,1,,1b_testis_CT
AARS1,cerebral cortex,1,,3_vital
AARS2,,0,,4_broad
AARSD1,"skeletal muscle, testis, tongue",3,,3_vital
AASDH,retina,1,,3_vital
AASDHPPT,cerebral cortex,1,,3_vital
AASS,"liver, ovary",2,,3_vital
AATF,,0,,4_broad
AATK,spinal cord,1,,3_vital
ABAT,liver,1,,3_vital
ABCA1,"adrenal gland, liver",2,,3_vital
ABCA10,ovary,1,,2_restricted
ABCA12,skin,1,,2_restricted
ABCA13,bone marrow,1,8.502074827683739e-49,1a_lymphoid
ABCA2,spinal cord,1,,3_vital
ABCA3,lung,1,,3_vital
ABCA4,retina,1,,3_vital
ABCA5,skeletal muscle,1,,3_vital
ABCA6,liver,1,,3_vital
ABCA7,"pituitary gland, spleen",2,0.005114571716702175,3_vital
ABCA8,,0,,4_broad
ABCA9,adipose tissue,1,,2_restricted
ABCB1,"adrenal gland, small intestine",2,,3_vital
ABCB10,bone marrow,1,2.21161219320681e-18,1a_lymphoid
ABCB11,liver,1,,3_vital
ABCB4,liver,1,,3_vital
ABCB5,epididymis,1,,2_restricted
ABCB6,skeletal muscle,1,,3_vital
ABCB7,skeletal muscle,1,,3_vital
ABCB8,cerebellum,1,,3_vital
ABCB9,"cerebellum, cerebral cortex",2,,3_vital
ABCC1,"blood vessel, skeletal muscle",2,,3_vital
ABCC10,cerebellum,1,,3_vital
ABCC11,breast,1,,2_restricted
ABCC12,"skeletal muscle, testis",2,,3_vital
ABCC2,liver,1,,3_vital
ABCC3,"adrenal gland, liver",2,,3_vital
ABCC4,prostate,1,,2_restricted
ABCC5,"choroid plexus, retina, skeletal muscle",3,,3_vital
ABCC6,liver,1,,3_vital
ABCC8,"cerebellum, pituitary gland",2,,3_vital
ABCC9,"liver, skeletal muscle",2,,3_vital
ABCD1,"adrenal gland, endometrium",2,,3_vital
ABCD2,adipose tissue,1,,2_restricted
ABCD3,liver,1,,3_vital
ABCD4,,0,,4_broad
ABCE1,,0,,4_broad
ABCF1,skeletal muscle,1,,3_vital
ABCF2,skeletal muscle,1,,3_vital
ABCF2-H2BK1,skeletal muscle,1,,3_vital
ABCF3,"adrenal gland, skeletal muscle",2,,3_vital
ABCG1,adrenal gland,1,,3_vital
ABCG2,small intestine,1,,2_restricted
ABCG4,retina,1,,3_vital
ABCG5,"duodenum, liver, small intestine",3,,3_vital
ABCG8,"duodenum, liver, small intestine",3,,3_vital
ABHD1,testis,1,,1b_testis_CT
ABHD10,"epididymis, kidney",2,,3_vital
ABHD11,,0,,4_broad
ABHD12,epididymis,1,,2_restricted
ABHD12B,"retina, skin",2,,3_vital
ABHD13,bone marrow,1,6.028398066492555e-05,1a_lymphoid
ABHD14A,"cerebellum, choroid plexus",2,,3_vital
ABHD14A-ACY1,,0,,4_broad
ABHD14B,liver,1,,3_vital
ABHD15,"adipose tissue, liver",2,,3_vital
ABHD16A,,0,,4_broad
ABHD16B,testis,1,,1b_testis_CT
ABHD17A,hippocampal formation,1,,3_vital
ABHD17B,thymus,1,0.0022100911404533867,1a_lymphoid
ABHD17C,"colon, rectum",2,,2_restricted
ABHD18,"heart muscle, tongue",2,,3_vital
ABHD2,liver,1,,3_vital
ABHD3,"colon, rectum",2,,2_restricted
ABHD4,,0,,4_broad
ABHD5,bone marrow,1,0.0012818338221301632,1a_lymphoid
ABHD6,liver,1,,3_vital
ABHD8,cerebral cortex,1,,3_vital
ABI1,bone marrow,1,4.695573232125192e-05,1a_lymphoid
ABI2,cerebral cortex,1,,3_vital
ABI3,spleen,1,4.4414391515992215e-13,1a_lymphoid
ABI3BP,,0,,4_broad
ABITRAM,,0,,4_broad
ABL1,colon,1,,2_restricted
ABL2,gallbladder,1,,2_restricted
ABLIM1,"cerebellum, heart muscle",2,,3_vital
ABLIM2,skeletal muscle,1,,3_vital
ABLIM3,liver,1,,3_vital
ABO,"ovary, small intestine",2,,2_restricted
ABR,cerebral cortex,1,,3_vital
ABRA,skeletal muscle,1,,3_vital
ABRACL,,0,,4_broad
ABRAXAS1,"ovary, testis",2,,2_restricted
ABRAXAS2,skeletal muscle,1,,3_vital
ABT1,bone marrow,1,0.0001399147898367607,1a_lymphoid
ABTB1,"cerebellum, spleen",2,0.005176205803109465,3_vital
ABTB2,spinal cord,1,,3_vital
ABTB3,parathyroid gland,1,,2_restricted
ACAA1,liver,1,,3_vital
ACAA2,liver,1,,3_vital
ACACA,,0,,4_broad
ACACB,"adipose tissue, skeletal muscle",2,,3_vital
ACAD10,liver,1,,3_vital
ACAD11,"kidney, liver",2,,3_vital
ACAD8,tongue,1,,2_restricted
