names,scores,logfoldchanges,pvals,pvals_adj
RP5-887A10.1,95.50293,6.9082756,0.0,0.0
RPL36A,70.496895,13.293645,0.0,0.0
RPS19,67.24026,63.21739,0.0,0.0
TXN,67.12731,4.8043246,0.0,0.0
IFI6,60.356663,6.7265644,0.0,0.0
COX7C,60.136555,6.858898,0.0,0.0
MTDH,59.424618,9.61313,0.0,0.0
DNAJC1,59.068676,3.1736856,0.0,0.0
RPL35,58.919067,32.612312,0.0,0.0
HIGD2A,58.616474,3.3511047,0.0,0.0
PPIA,57.75582,3.3910944,0.0,0.0
SNHG25,57.421066,4.470895,0.0,0.0
SNHG8,55.834064,2.8711681,0.0,0.0
GAPDH,55.59617,5.088812,0.0,0.0
RPS13,53.996468,23.24195,0.0,0.0
TMA7,53.845947,3.4367113,0.0,0.0
RPL36,53.39344,27.572412,0.0,0.0
UBA52,52.98284,13.4689245,0.0,0.0
RPL37,52.955524,21.538496,0.0,0.0
RPLP1,52.49964,96.31162,0.0,0.0
IFITM1,51.936745,4.5093455,0.0,0.0
COX5A,51.86416,3.4943554,0.0,0.0
RPS17,50.774918,31.15381,0.0,0.0
RPL31,50.75534,11.892183,0.0,0.0
RPS21,50.472115,8.203874,0.0,0.0
LINC01480,50.067905,3.400926,0.0,0.0
RPLP2,49.362453,43.515663,0.0,0.0
RPL24,49.166252,15.565532,0.0,0.0
EIF3K,48.895092,3.9498646,0.0,0.0
RPS27,48.88036,33.70391,0.0,0.0
RPL29,48.07947,22.885586,0.0,0.0
ARPC5L,47.97656,2.2610579,0.0,0.0
RRBP1,47.931026,2.2609415,0.0,0.0
GADD45GIP1,47.785206,1.9979169,0.0,0.0
RPL18,47.43722,26.392866,0.0,0.0
SVIP,47.185604,2.0602424,0.0,0.0
UQCR11,47.103252,2.9818656,0.0,0.0
NDUFB1,46.783363,2.0832841,0.0,0.0
RPL9,46.753788,15.095948,0.0,0.0
COX17,46.51766,1.9125572,0.0,0.0
PTMA,46.374413,7.8793616,0.0,0.0
TOMM7,46.212803,4.014149,0.0,0.0
RPL32,46.154938,36.077953,0.0,0.0
C19orf70,46.11539,1.9903418,0.0,0.0
BTF3,46.09259,4.2314963,0.0,0.0
NDUFA3,45.747875,2.2173533,0.0,0.0
LDHB,45.72702,2.3781493,0.0,0.0
RPS23,45.621788,29.030107,0.0,0.0
ATP5D,45.572742,2.8561258,0.0,0.0
RPS27L,45.466038,3.5555294,0.0,0.0
RPL38,45.367615,6.489889,0.0,0.0
POLR2L,45.274643,2.3525038,0.0,0.0
PSME2,45.21838,2.2151055,0.0,0.0
RPS28,44.839092,37.0993,0.0,0.0
RPS16,44.787136,25.798874,0.0,0.0
RNASET2,44.4812,2.2647278,0.0,0.0
NPM1,44.448364,5.43105,0.0,0.0
COMMD3,43.97847,2.6933653,0.0,0.0
ATP5J,43.886814,2.1890397,0.0,0.0
FAM162A,43.74231,2.3036034,0.0,0.0
IFI27,43.616077,9.213067,0.0,0.0
FXYD5,43.461365,3.4204774,0.0,0.0
EID1,43.44314,2.0216072,0.0,0.0
NACA,43.394432,6.2234445,0.0,0.0
RPL35A,43.302322,21.620354,0.0,0.0
COX6C,43.03797,1.970945,0.0,0.0
TRMT112,42.950077,2.1833942,0.0,0.0
FCRLA,42.74186,3.529566,0.0,0.0
RPS15,42.653786,33.311283,0.0,0.0
RPL22,42.6339,5.0928774,0.0,0.0
PET100,42.479465,1.7484105,0.0,0.0
RPL12,42.414524,16.816334,0.0,0.0
MYL12A,42.24575,1.8302827,0.0,0.0
C19orf53,42.222645,2.1111722,0.0,0.0
BST2,41.981438,2.1505468,0.0,0.0
RPS6,41.940636,37.749794,0.0,0.0
HIST1H1C,41.8914,3.559657,0.0,0.0
ATP5O,41.804558,2.3017943,0.0,0.0
CCND1,41.61608,6.3948545,0.0,0.0
RPS3A,41.4158,21.271202,0.0,0.0
FRZB,41.397903,5.816147,0.0,0.0
ZFAS1,41.193092,2.4105887,0.0,0.0
RPL14,41.16487,16.744116,0.0,0.0
CADM1,40.998505,3.1468618,0.0,0.0
C19orf43,40.83787,2.1342957,0.0,0.0
RPS10,40.68561,5.890973,0.0,0.0
B2M,40.61395,102.89474,0.0,0.0
RPL27,40.171856,6.7787676,0.0,0.0
ISG15,40.063904,3.3688843,0.0,0.0
NHP2,40.034515,1.8768934,0.0,0.0
ATP5E,40.01693,3.5318673,0.0,0.0
SHFM1,40.01033,1.5825664,0.0,0.0
RPL7A,39.798923,21.480122,0.0,0.0
RPS25,39.768135,14.217796,0.0,0.0
NDUFB4,39.707928,1.9308237,0.0,0.0
RPS14,39.67879,48.65157,0.0,0.0
TMEM147,39.61292,1.9916427,0.0,0.0
RPLP0,39.56106,12.73974,0.0,0.0
TBCA,39.218678,1.9119482,0.0,0.0
RPS3,38.98126,24.322308,0.0,0.0
EMC7,38.962616,1.6465628,0.0,0.0
CHCHD10,38.800076,2.1703112,0.0,0.0
EMC4,38.502903,1.5537051,0.0,0.0
C6orf48,38.43846,2.145601,0.0,0.0
HLA-A,38.35834,9.607167,0.0,0.0
RPL41,38.3284,28.221558,0.0,0.0
FBL,38.180035,2.0576797,0.0,0.0
GNB2L1,38.152637,13.20783,0.0,0.0
COX6B1,38.044914,2.293979,0.0,0.0
SNRPE,38.00183,1.5886788,0.0,0.0
RAN,37.782177,1.5898457,0.0,0.0
TMSB10,37.747463,6.2206016,0.0,0.0
RPS29,37.729027,14.036231,0.0,0.0
RPL28,37.71473,23.648329,0.0,0.0
SNRPG,37.57674,1.4307472,5.156559016592877e-309,6.756002292739597e-307
RPL39,37.463345,28.719528,3.642384004118453e-307,4.716675518821529e-305
EVI2B,37.199047,2.4332356,7.070677527431064e-303,9.103190784304745e-301
IMP3,37.099472,1.8797655,2.865167020170796e-301,3.667578450589893e-299
SEC61B,37.072334,4.535412,7.844252776082016e-301,9.983716690381413e-299
RPL15,36.919746,22.192957,2.2283170659465863e-298,2.819960568740245e-296
COX8A,36.577206,1.6042142,6.589691361523817e-293,8.199564005319552e-291
RPL34,36.3769,38.53261,9.873141762419223e-290,1.2149419142230019e-287
NME1,36.27343,1.6085033,4.2460367616163945e-288,5.167867584233987e-286
RPSA,36.250626,10.1049,9.713893318267082e-288,1.1758562275965365e-285
RPL4,36.02518,10.575046,3.3755675211069994e-284,3.999149755192351e-282
RWDD1,35.909092,1.4575281,2.2032919787844235e-282,2.59650382240558e-280
ATP5L,35.792637,5.0735745,1.4377891324874648e-280,1.6854672288364898e-278
BRK1,35.67749,1.5115397,8.833328954141593e-279,1.030077150762281e-276
RPL30,35.626938,9.683436,5.36386025154166e-278,6.22235725950976e-276
TMEM261,35.514515,1.7971469,2.9344643796443362e-276,3.3864935299387723e-274
RPL37A,35.513523,15.509718,3.040101612562722e-276,3.4903187225056447e-274
NOP10,35.507732,1.50705,3.734612627440653e-276,4.2656936949223417e-274
ZBTB38,35.504387,1.6879143,4.206101855291962e-276,4.779719725659075e-274
RPL19,35.478558,14.606126,1.0526372697362962e-275,1.1901213151693667e-273
EIF3J,35.435635,1.5812454,4.828244644451757e-275,5.431287523528989e-273
HIST1H2AC,35.39327,3.0898829,2.1671761048263388e-274,2.4256036875777412e-272
SON,35.28168,1.4038411,1.1214574223478032e-272,1.248911058397631e-270
RPL6,35.185783,9.046098,3.2989486254647294e-271,3.655596155968951e-269
FAU,35.15445,13.065933,9.940413826112826e-271,1.0960536492525296e-268
DYNLL1,35.11458,1.9534634,4.038913214014059e-270,4.4314637446174943e-268
SURF1,35.06741,1.4605796,2.1167537792428554e-269,2.311100829660594e-267
ATP5H,34.823128,1.3949423,1.0866188571706176e-265,1.1748670779495712e-263
RPL8,34.799427,17.96523,2.481317888868502e-265,2.6698740743366252e-263
SLC25A5,34.700912,1.696394,7.632596640663493e-264,8.134010764473587e-262
CCDC85B,34.63409,1.6781782,7.754481708607566e-263,8.224551004562681e-261
NDUFA4,34.5604,2.0946727,9.94792170556969e-262,1.0500950717921977e-259
CFL1,34.525936,1.6111077,3.2745625541693765e-261,3.440298668349742e-259
MLLT3,34.363583,2.8406894,8.82816712390881e-259,9.231444429616005e-257
TUBB,34.320446,2.089707,3.8885901565453863e-258,4.04722282975399e-256
SNRPD1,34.28107,1.5969939,1.5026319398167305e-257,1.5566567997924668e-255
HINT1,34.04861,4.5345635,4.255644392179745e-254,4.368016937650666e-252
RP5-1171I10.5,33.986443,3.0305037,3.533228053467043e-253,3.593405864606002e-251
SOD1,33.8697,1.4367862,1.8614079930356365e-251,1.8845063740401242e-249
MRPL32,33.861458,1.8117099,2.4616061845300994e-251,2.4808757714044756e-249
SNRPF,33.817577,1.6053578,1.0879812599467081e-250,1.0866639732194183e-248
SLC1A5,33.716785,1.9406934,3.2810035071352647e-249,3.2624013890367745e-247
SSBP1,33.585026,1.3266296,2.7754786886371047e-247,2.747477192533966e-245
CLIC1,33.57026,1.7659742,4.5588197768574146e-247,4.492858092475451e-245
NDUFC1,33.51821,1.2665277,2.616663091490346e-246,2.567442160209889e-244
ST3GAL6,33.357502,2.70604,5.6708598078326054e-244,5.515592161565748e-242
SMIM4,33.240997,2.4048648,2.754326604037359e-242,2.667265932683656e-240
RPL23,33.202957,4.9893584,9.757902702518145e-242,9.408561337367387e-240
PDCD5,33.202797,1.5312036,9.810109096531302e-242,9.418127582200073e-240
USMG5,33.065533,1.392545,9.304883694226486e-240,8.856738227414808e-238
UQCRQ,32.976574,2.241131,1.7603133835614076e-238,1.6684025528537545e-236
NDUFS6,32.96078,1.5014654,2.9643364645997964e-238,2.7976553422047147e-236
EDF1,32.886234,2.674121,3.458195597194986e-237,3.236318930097644e-235
RPS11,32.80569,15.480661,4.8846765029104725e-236,4.552150617126567e-234
EEF1B2,32.787426,8.738343,8.896359259038793e-236,8.221934015625355e-234
RPL17,32.66306,3.095413,5.228900585673522e-234,4.792728508012607e-232
HSPE1,32.601982,1.5002407,3.844547398932221e-233,3.5094100088695635e-231
NDUFA8,32.575745,1.6447616,9.047519671987977e-233,8.225118598130132e-231
AIG1,32.55372,1.5836499,1.854828037613461e-232,1.6793733691774234e-230
NBEAL1,32.471252,1.8388219,2.715290542928029e-231,2.448488512657327e-229
GABPB1-AS1,32.382984,1.9328289,4.765392485626969e-230,4.279822049692318e-228
COX20,32.278275,2.0140557,1.411718140464709e-228,1.2577279257028185e-226
POU2F2,32.264866,1.7492387,2.176779171690147e-228,1.9316096609981932e-226
DRAP1,32.117073,1.328912,2.5470796909293235e-226,2.2512343633360645e-224
IGF1,32.094505,1.5829489,5.259904248837602e-226,4.630586851160471e-224
RPL13A,32.06222,42.467457,1.4832022238779315e-225,1.2955044365660067e-223
RPS27A,31.962929,16.518654,3.572649931270586e-224,3.10834499684335e-222
NSA2,31.917715,1.597956,1.5162849291811694e-223,1.3140939388191512e-221
SNRPD2,31.867193,1.6009539,7.607500206364346e-223,6.567513647145469e-221
POLR2J3,31.701885,1.7439415,1.4634860430426522e-220,1.253700947564961e-218
HSP90AB1,31.610138,1.5409118,2.6789661915997265e-219,2.2861537925479196e-217
SCYL2,31.49901,3.1853104,8.961927246785928e-218,7.618664334643626e-216
NDUFB6,31.470476,1.3741536,2.2027450271787786e-217,1.8583992420588232e-215
TIMM13,31.385756,1.541901,3.165768846216173e-216,2.660798849500861e-214
RPS12,31.38307,18.960455,3.444539803058542e-216,2.884219362162515e-214
NDUFA2,31.089,1.3139921,3.391885955425624e-212,2.829493478846252e-210
MRPL34,31.06833,1.46431,6.452329113124295e-212,5.362415161814083e-210
MESDC2,30.946663,1.2741188,2.8174037467829365e-210,2.3327893550965183e-208
BEX5,30.923954,1.599104,5.6919627712767086e-210,4.678121284304285e-208
RPS18,30.899353,43.554092,1.218571600519343e-209,9.978398992046812e-208
ANP32B,30.72661,1.6701946,2.511498623054855e-207,2.041555066835795e-205
TSTD1,30.701515,1.2875448,5.432610449733225e-207,4.400019365342113e-205
ATP5G2,30.697363,2.1163163,6.172023431621218e-207,4.980778184510848e-205
LY6E,30.589832,2.193579,1.6710860964762546e-205,1.3340537859073697e-203
LAMP5,30.571444,4.800597,2.9342784779375536e-205,2.3341137335393977e-203
LSM7,30.468557,1.3107111,6.802620801640793e-204,5.372864294856219e-202
WHSC1,30.417818,4.816445,3.193224849143512e-203,2.5131695075962345e-201
ATP5J2,30.391827,1.252718,7.043956075697446e-203,5.5242969603524376e-201
BCAP31,30.389223,1.5814654,7.624419738542707e-203,5.9585509065460256e-201
LINC00493,30.26732,1.2568969,3.087256102537837e-201,2.404281649364519e-199
UBL5,30.249054,1.5553088,5.368870020486265e-201,4.1665798594526334e-199
RPL7,30.171537,13.737426,5.598088896942531e-200,4.32938312505559e-198
PABPC1,30.1598,2.0606925,7.97920915845644e-200,6.149512996065754e-198
RNASEH2C,30.158731,1.3260565,8.240995137476212e-200,6.32936843782785e-198
CD320,30.110615,1.7717296,3.518730612051179e-199,2.69321948186309e-197
PSMB7,29.960545,1.2975607,3.207016399454484e-197,2.4295876280629154e-195
PSMA7,29.955416,1.2806853,3.740416635148628e-197,2.8240779564293353e-195
MRPL41,29.947231,1.5525336,4.7806568446025567e-197,3.5972827668862416e-195
THUMPD3-AS1,29.899176,1.6151175,2.0169398699918473e-196,1.5125690816272193e-194
GLCCI1,29.826296,1.8248577,1.782209377150872e-195,1.3320519952107846e-193
EIF3G,29.789143,1.6011938,5.400530307530824e-195,4.0229435297536466e-193
CTSZ,29.628403,1.5877292,6.437462067893373e-193,4.77938642127297e-191
FUNDC2,29.609663,1.4558986,1.1221521340451927e-192,8.303552983916471e-191
REXO2,29.428263,1.5154566,2.389160127319496e-190,1.7562298190028754e-188
MYEOV,29.329922,2.8573916,4.309768524435577e-189,3.1576142876563687e-187
EPB41L4A-AS1,29.238178,1.9783227,6.347140254067303e-188,4.635077209142329e-186
PSMB4,29.186445,1.3044566,2.8818893184357976e-187,2.0976575421411935e-185
GSTO1,29.050533,1.5108722,1.51510985251907e-185,1.0992196008194542e-183
SRP14,29.031582,2.025022,2.6287879199166778e-185,1.8948541534079017e-183
RPL26,28.898024,15.093285,1.2641556934578815e-183,9.082754761415288e-182
DDT,28.866161,1.1507404,3.1764204319943673e-183,2.2748685621160949e-181
UBXN1,28.793486,1.6173792,2.5881217000016908e-182,1.847603673850566e-180
RPL27A,28.732859,22.19371,1.4832836782753944e-181,1.055500874320379e-179
UQCRB,28.713757,2.1728325,2.5692293632872554e-181,1.822434573519014e-179
CALM2,28.642862,1.460965,1.9672544441774486e-180,1.3910050233385497e-178
TIMM8B,28.635809,1.4366609,2.408156391882661e-180,1.697369218873497e-178
COX7B,28.446537,1.151157,5.378229386768577e-178,3.766959217971588e-176
PFN1,28.441904,1.2994674,6.136714685463952e-178,4.284734990261398e-176
PPIB,28.441517,2.9299405,6.204782382268465e-178,4.3187224375082974e-176
POLR2I,28.30287,1.1799486,3.1859669824097264e-176,2.203759086932045e-174
RPL10A,28.26658,10.561886,8.903789587324501e-176,6.139755587568997e-174
LINC00467,28.195267,1.6569022,6.683592806537771e-175,4.594557487037524e-173
IGKV2D-28,27.753157,4.090042,1.5961086104077184e-169,1.0871598495293918e-167
RPS8,27.728584,14.997031,3.158597610682221e-169,2.1448611153269853e-167
NDUFS5,27.718767,1.1507561,4.148187003934197e-169,2.8082847762500416e-167
TOMM5,27.706244,1.5605376,5.871946467612367e-169,3.963207990094856e-167
MRPS21,27.621729,1.2082558,6.102029939507189e-168,4.09369014586276e-166
RPL18A,27.61844,26.319334,6.682967342325317e-168,4.469961910378732e-166
NDUFS4,27.427643,1.3909132,1.284129260699251e-165,8.53773463389684e-164
NDUFS7,27.388119,1.2124759,3.7992508352625187e-165,2.5184736266012525e-163
CMSS1,27.36597,1.9459357,6.972114303353245e-165,4.608008957821567e-163
H3F3A,27.358585,2.0154674,8.535891787275015e-165,5.624849638401669e-163
SNRPN,27.289766,1.3833255,5.610602507482892e-164,3.686281700565382e-162
CD48,27.041477,1.7957155,4.811152320660558e-161,3.124163138136228e-159
COA4,27.012392,1.5765024,1.0570793957193302e-160,6.844281796760652e-159
IRF4,26.97554,1.618359,2.8623166796314125e-160,1.8478950552298683e-158
PSMA4,26.938648,1.1293763,7.748534729892916e-160,4.973576773455473e-158
C7orf55,26.906965,1.4738834,1.820457833504243e-159,1.1651453254494255e-157
TMEM52B,26.874714,3.329688,4.338479180918976e-159,2.7687950371521015e-157
DNAJC19,26.740032,1.2478296,1.612593740385171e-157,1.0262085822742547e-155
CLTA,26.730803,1.4448689,2.0646249604078e-157,1.3101251208878327e-155
BANF1,26.600344,1.1535759,6.726267446424288e-156,4.256083944153641e-154
MX1,26.586853,2.3552997,9.633757082239597e-156,6.078545934638033e-154
PSMB8,26.569122,1.1840085,1.5443784347578115e-155,9.716932451231847e-154
