rank,gene,composite_score,de_component,epitope_component,safety_component,llm_component,log2fc_smm,padj_smm,pct_cells_smm_neoplastic,pct_cells_nbm_normal,pct_cells_neoplastic,pct_cells_normal,patient_prevalence,recurrence_frac,recurrence_n_samples,recurrence_smm_n,smm_coverage_n,smmh_coverage_n,smml_coverage_n,mm_coverage_n,mgus_coverage_n,mm_retained,n_strong_binders,n_alleles_with_binder,allele_coverage_frac,best_affinity_nM,tissue_tier,hpa_outlier_tissues,hpa_lymphoid_fdr,hpa_subcellular,localisation,significant_in_B,surface_or_secreted,novelty_confidence,mm_confidence,novelty_tier,existing_programs,llm_available,rationale
1,CCND1,0.7794674051530376,1.0,0.5223370257651883,0.49999999999999994,1.0,8.706896096841476,9.380300878022664e-17,0.4594799293107801,0.0061106346483704,0.3140404465978513,0.0219695509732125,0.9565217391304348,0.8181818181818182,9,5,10,8,2,5,2,False,61,20,0.7407407407407407,14.83157212375296,2_restricted,skin,,Nucleoplasm,intracellular,True,False,9.0,A,3_literature,"none known — no CCND1-directed vaccine, CAR-T, ADC or bispecific in myeloma that I can name with confidence; CCND1 peptide/CTL work exists preclinically (mantle cell lymphoma, breast cancer) but I am not aware of a registered clinical vaccine trial, so I am not claiming tier 1a/1b",True,"SMM neoplastic vs healthy plasma cells log2FC=8.7 (padj=9.4e-17); expressed in 46% of SMM tumour cells vs 1% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 9/11 paired patients (5/5 SMM); expressed (>=5 CPM) in 10/12 SMM tumours (8/9 high-risk), 5/8 MM, 2/3 MGUS; NOT retained on progression to MM (durability risk); 61 strong HLA-I binders on 20/27 alleles; novelty-confidence 9/10 (confidence A, 3_literature); tissue tier 2_restricted (outlier in skin); also up in within-patient paired contrast (log2FC=1.7)"
2,FCRLA,0.5931487555299811,0.29688190815925275,0.4370875820776934,1.0,0.6666666666666666,2.2652814115747826,0.0163190803573047,0.50580661449129,0.1557675814751286,0.4275331788497998,0.1560994411254577,0.9565217391304348,0.7272727272727273,8,3,10,8,2,8,3,True,73,18,0.6666666666666666,11.777351809463951,1a_lymphoid,"lymph node, tonsil",9.453028262367841e-09,,intracellular,True,False,7.0,B,3_literature,"none known for FCRLA itself; note the paralogue FCRL5/FcRH5 is clinically validated in MM (cevostamab, BFCR4350A; anti-FcRH5 ADC DFRF4539A; FcRH5 CAR-T), but that is a different gene",True,"SMM neoplastic vs healthy plasma cells log2FC=2.3 (padj=1.6e-02); expressed in 51% of SMM tumour cells vs 16% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 8/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 10/12 SMM tumours (8/9 high-risk), 8/8 MM, 3/3 MGUS; 73 strong HLA-I binders on 18/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 1a_lymphoid (outlier in lymph node, tonsil); also up in within-patient paired contrast (log2FC=1.0)"
3,NLGN4X,0.5336356063612914,0.058448266691058154,0.7055056317698698,1.0,0.5,5.887276321626487,1.0418235459909663e-09,0.0797778338803332,0.0009648370497427,0.0698335791025911,0.0024089419926768,0.8695652173913043,0.3636363636363636,4,2,6,4,2,4,1,True,182,23,0.8518518518518519,10.528510230304263,1a_lymphoid,"ovary, thymus",0.0242933073332313,,membrane,True,True,6.0,B,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=5.9 (padj=1.0e-09); expressed in 8% of SMM tumour cells vs 0% of healthy-donor plasma cells; shared by 87% of patients; enriched vs own normal PCs in 4/11 paired patients (2/5 SMM); expressed (>=5 CPM) in 6/12 SMM tumours (4/9 high-risk), 4/8 MM, 1/3 MGUS; 182 strong HLA-I binders on 23/27 alleles; novelty-confidence 6/10 (confidence B, 4_uncharacterised); tissue tier 1a_lymphoid (outlier in ovary, thymus); also up in within-patient paired contrast (log2FC=1.7)"
4,CD1D,0.5197261785351273,0.028258376160248982,0.47290999510192966,1.0,0.6666666666666666,1.8315426131708976,0.00175676946434,0.1427669780358495,0.0365566037735849,0.2142405729934695,0.0407592985160917,0.9130434782608696,0.4545454545454545,5,2,9,8,1,6,2,True,72,18,0.6666666666666666,11.765906668787803,1a_lymphoid,spleen,0.0005993521266871,Endoplasmic reticulum,membrane,True,True,7.0,B,3_literature,"none known as a CD1D-directed peptide vaccine or CD1D-targeting agent. Note: alpha-galactosylceramide (KRN7000)-loaded dendritic cell / iNKT trials in MGUS-SMM-MM (e.g., Richter et al., Blood 2013; Chang/Dhodapkar studies) exploit CD1d as the lipid-presenting molecule, not as the targeted tumor antigen, so this does not constitute a CD1D-directed clinical program.",True,"SMM neoplastic vs healthy plasma cells log2FC=1.8 (padj=1.8e-03); expressed in 14% of SMM tumour cells vs 4% of healthy-donor plasma cells; shared by 91% of patients; enriched vs own normal PCs in 5/11 paired patients (2/5 SMM); expressed (>=5 CPM) in 9/12 SMM tumours (8/9 high-risk), 6/8 MM, 2/3 MGUS; 72 strong HLA-I binders on 18/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 1a_lymphoid (outlier in spleen)"
5,KIT,0.5051145326585968,0.04324321002468115,0.5857078482559628,0.49999999999999994,1.0,7.668746348535407,3.4379819234577088e-06,0.0509972229235041,0.000107204116638,0.0482409943121971,0.0005781460782424,0.6956521739130435,0.4545454545454545,5,3,6,3,3,3,1,True,191,23,0.8518518518518519,11.541332457725142,2_restricted,breast,,Plasma membrane,membrane,True,True,9.0,A,3_literature,"none known as an antigen-directed agent in myeloma; KIT is targeted pharmacologically by TKIs (imatinib/dasatinib, tested in MM without antigen-specific rationale) and anti-CD117 antibodies (e.g. briquilimab/JSP191) and CD117 CAR-T are in development for AML/HSC conditioning, not myeloma",True,"SMM neoplastic vs healthy plasma cells log2FC=7.7 (padj=3.4e-06); expressed in 5% of SMM tumour cells vs 0% of healthy-donor plasma cells; shared by 70% of patients; enriched vs own normal PCs in 5/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 6/12 SMM tumours (3/9 high-risk), 3/8 MM, 1/3 MGUS; 191 strong HLA-I binders on 23/27 alleles; novelty-confidence 9/10 (confidence A, 3_literature); tissue tier 2_restricted (outlier in breast); also up in within-patient paired contrast (log2FC=0.8)"
6,SPN,0.4975120695371318,0.11264349031099279,0.2352617788858365,1.0,0.6666666666666666,2.0982017352893005,0.0022642808012315,0.2779601110830598,0.066680960548885,0.2343058773962502,0.075640778570052,0.9130434782608696,0.5454545454545454,6,4,10,7,3,8,1,True,58,17,0.6296296296296297,15.29004942361826,1a_lymphoid,"bone marrow, thymus",2.7947669039127053e-07,Plasma membrane,membrane,True,True,7.0,B,3_literature,"none known in myeloma; anti-CD43 antibody AT1413 has been explored in AML (not myeloma, not a vaccine), and CD43 CAR constructs remain preclinical",True,"SMM neoplastic vs healthy plasma cells log2FC=2.1 (padj=2.3e-03); expressed in 28% of SMM tumour cells vs 7% of healthy-donor plasma cells; shared by 91% of patients; enriched vs own normal PCs in 6/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 10/12 SMM tumours (7/9 high-risk), 8/8 MM, 1/3 MGUS; 58 strong HLA-I binders on 17/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 1a_lymphoid (outlier in bone marrow, thymus)"
7,POU2F2,0.4914474403138025,0.08468576209738844,0.2468752250895964,1.0,0.6666666666666666,1.0549544053891886,0.0002319218818251,0.4473617773289573,0.2260934819897084,0.4375394986307141,0.2306802852187319,1.0,0.8181818181818182,9,4,12,9,3,8,3,True,65,19,0.7037037037037037,14.007749418623272,1a_lymphoid,"lymph node, tonsil",4.9131671802658555e-05,"Nucleoplasm, Vesicles",intracellular,True,False,7.0,B,3_literature,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.1 (padj=2.3e-04); expressed in 45% of SMM tumour cells vs 23% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 9/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 3/3 MGUS; 65 strong HLA-I binders on 19/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 1a_lymphoid (outlier in lymph node, tonsil); also up in within-patient paired contrast (log2FC=0.8)"
8,MLLT3,0.47566880619810065,0.26266776665992614,0.1093423810006141,1.0,0.5,2.004304988181178,4.8329976328916055e-12,0.34170663973744,0.0850128644939965,0.3246260796292395,0.0909616496434765,1.0,1.0,11,5,12,9,3,8,3,True,62,15,0.5555555555555556,11.538837052870107,1a_lymphoid,"bone marrow, rectum",0.0102836626980351,Nucleoplasm,intracellular,True,False,6.0,B,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=2.0 (padj=4.8e-12); expressed in 34% of SMM tumour cells vs 9% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 11/11 paired patients (5/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 3/3 MGUS; 62 strong HLA-I binders on 15/27 alleles; novelty-confidence 6/10 (confidence B, 4_uncharacterised); tissue tier 1a_lymphoid (outlier in bone marrow, rectum); also up in within-patient paired contrast (log2FC=1.6)"
9,IGF1,0.4724970907769164,0.05106393350781709,0.4108895536228562,0.49999999999999994,1.0,0.6957844634334935,0.0354009595151458,0.4233779348649331,0.2180531732418525,0.4324836738993048,0.2195991520524186,1.0,0.9090909090909092,10,4,12,9,3,8,3,True,38,18,0.6666666666666666,19.54095705046923,2_restricted,"adipose tissue, cervix",,,secreted,True,True,9.0,A,3_literature,"none known for IGF1 itself as a vaccine target; the axis has been drugged in MM via the receptor (anti-IGF-1R antibodies AVE1642 and figitumumab/CP-751,871 in phase I myeloma studies) and the ligand neutralised in solid tumours (xentuzumab/BI 836845), but no IGF1-directed vaccine or MM ligand-targeted program exists",True,"SMM neoplastic vs healthy plasma cells log2FC=0.7 (padj=3.5e-02); expressed in 42% of SMM tumour cells vs 22% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 10/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 3/3 MGUS; 38 strong HLA-I binders on 18/27 alleles; novelty-confidence 9/10 (confidence A, 3_literature); tissue tier 2_restricted (outlier in adipose tissue, cervix); also up in within-patient paired contrast (log2FC=0.9)"
10,MYEOV,0.4714781713722149,0.19252454587937712,0.1936040380420089,0.49999999999999994,1.0,2.491091583605854,6.010316279068411e-06,0.2903307245645039,0.046204974271012,0.2535812091847482,0.0488533436114858,0.9565217391304348,0.6363636363636364,7,2,11,8,3,7,3,True,53,13,0.4814814814814814,15.334246674050128,2_restricted,esophagus,,Nucleoplasm,membrane,True,True,9.0,A,3_literature,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=2.5 (padj=6.0e-06); expressed in 29% of SMM tumour cells vs 5% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 7/11 paired patients (2/5 SMM); expressed (>=5 CPM) in 11/12 SMM tumours (8/9 high-risk), 7/8 MM, 3/3 MGUS; 53 strong HLA-I binders on 13/27 alleles; novelty-confidence 9/10 (confidence A, 3_literature); tissue tier 2_restricted (outlier in esophagus); also up in within-patient paired contrast (log2FC=0.9)"
